// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
// invoke callMethodMissing method directly // TODO: this could be further optimized, since some DSLs hit method_missing pretty hard...
// trim extension to try other options
// inline script
// @JRubyMethod(name = "inexact?")
// make sure descriptor is registered
// 'class << state.self' and 'class << obj' uses defn as opposed to defs
// FIXME: Make thread pool threads daemons if necessary
// put under object array already present
// ----- Ruby Class Methods ----------------------------------------------------
// line 1424
// let RescuedBlock continue
// rb_reg_initialize_str
// This method has JITed already or has been abandoned. Bail out.
// if given path is absolute, just try it as-is (with extensions) and no load path
// line 1192
// declared type returns the qualified name without $ for inner classes!!!
// NOT REACHED HERE
// if we get here, we found a matching method, use it // TODO: choose narrowest method by continuing to search
// nothing else to here - the module version will be // included in the class.
// box arguments
// dummy bodies for default impls
//System.err.println(" stringToLong/reading c=" + data[s]);
// Returns the containing parent scope!
// line 1535
// should invoke seek on realIo
// write out ivar count followed by name/value pairs
// use 1.8 impl
// 1.9 rb_check_to_integer
// num2int is also implemented
// We lazily initialize this in case Readline.readline has been overridden in ruby (s_readline)
// dup it since we need to return appropriately if it's false
// v += g*v     ~ 1/2/sqrt()
// Single '~' as whole path to expand
// use IRubyObject[]
// TODO: Ruby truncates string to specific size here, but our bytelist should handle this already?
// Node
// ////////////////// CLASS VARIABLE API METHODS //////////////// //
// 5 -> 2, -5 -> -3 need half a scale more..
// line 1609
// singleton classes don't get their own visibility domain
// switch // for // no exponent, so drop through for calculation
// Ruby code frequently uses a platform check to choose "NUL:" on windows // but since that check doesn't work well on JRuby, we help it out
// line 1877
// TODO: Store BEGIN and END information into this node
// select until read is ready
// we reached the end
// load up object and add a few useful methods
// line 833
// Spurious wakeup-loop
// line 503
// line 1244
// Create block for this iter node // FIXME: We shouldn't use the current scope if it's not actually from the same hierarchy of static scopes
// methods and closures
// Static constants
//        ByteList buffer = null;
// line 1788
// TODO: This isn't an exact port of MRI's pipe behavior, so revisit
// ok, now it gets expensive...
// We do both writable and writable_real through the same method because // in our java process effective and real userid will always be the same.
// Workaround for a bug in Sun's JDK 1.5.x, see // http://bugs.sun.com/bugdatabase/view_bug.do?bug_id=6303753
// context is null, wipe out the SoftReference (this could be done with a reference queue)
// NOTE: if 's' happens to the a class, this is effectively an assignment of a class instance variable
// value equality
// for Object, default to natural wrapper type
// Setting the loader needs to reset the class cache
// SSS FIXME: Maybe this is not really a concern after all ... // Nesting level of this scope in the lexical nesting of scopes in the current file -- this is not to be confused // with semantic nesting of scopes across files. // // Consider this code in a file f // class M1::M2::M3::C  //   ... // end // // So, C is at lexical nesting level of 1 (the file script is at 0) in the file 'f' // Semantically it is at level 3 (M1, M2, M3 are at 0,1,2). // // This is primarily used to ensure that variable names don't clash! // i.e. definition of %v_1 in a closure shouldn't override the use of %v_1 from the parent scope! //    private int _lexicalNestingLevel;
// line 678
// add to the jitted methods set
// need the array, use unoptz version
// RubyUDPSocket
// IRubyObject, DynamicMethod, ThreadContext, IRubyObject, RubyModule, String, IRubyObject
// line 909
// How many bytes into the source are we?
// line 1315
// Skip /usr/bin/env if it's first
// second argument is allowed, but ignored (MRI)
// Next, we define a few private methods that we'll use to manipulate // the Java object contained within this Ruby object
// If no exception is thrown execute else block
// not using remove(Object) here to avoid the equals() call
// promise to implement zero to three
// load arity for check
/* $.: last read line number */
// line 952
// line 1523
// a normal block passed to define_method changes to do arity checking; make it a lambda
// array creation should use this variant
//if the length is not a multiple of 8 //we need to pad the last byte
"/* NEWOBJ and OBJSETUP equivalent     * fastest one, for shared arrays, optional objectspace     */"
// if refcount is at or below zero, we're no longer valid
// exec needs to behave differently in-process, because it's technically // supposed to replace the calling process. So if we're supposed to run // in-process, we allow it to use the default streams and not use // pumpers at all. See JRUBY-2156 and JRUBY-2154.
// line 1151
// small hack to save a cast later on
// not reached
// MRI has extra pointer which makes our code look a little bit // more strange in // comparison
// enum lex_state
// check arity
// Register the new descriptor
/* Surrogates */
// Handle ~user paths
// line 1229
// line 1374
// By default, NO_FLUSH
// only this case affects backrefs
// line 782
"/*case CLASSNODE: case COLON2NODE:                handleUselessWarn(node, ""::""); return;*/"
//  '_' in number just ignored
// beneath are rewritten coercions that reflect MRI logic, the aboves are used only by RubyBigDecimal
// try specific name first, falling back on simple name
//yyDgoto 152
// class and module bodies default to public, so make the block's visibility public. JRUBY-1185.
// line 1263
// we got a valid errno value
// float number of seconds
"/*                    $$ = new ArgAuxiliaryNode($1.getPosition(), (String) $1.getValue(), 1);  */"
// line 638
// keep a reference to avoid the memory being freed
// line 423
// insert all nodes in sequence, hash them in the final instruction // KEY
// line 1652
// If variables were added then we may need to grow the dynamic scope to match the static // one. // FIXME: Make this so we only need to check this for blockScope != null.  We cannot // currently since we create the DynamicScope for a LocalStaticScope before parse begins. // Refactoring should make this fixable.
// if we're not attempting to invoke method_missing and method is not visible, branch to method_missing
// This method is intended only for defining new modules in Ruby code
// should not happen!
//FIXME: When we get JNA3 we need to properly write this to errno.
// static methods only
"/*  ================     *  Utility Methods     *  ================      */"
// line 1767
// read
// Increase value to hit lower range.
// backspace
// Done with closure compilation
// OUT = UNION(IN(succs))
// TODO: This is actually now returning the scope of whoever called Method#to_proc // which is obviously wrong; but there's no scope to provide for many methods. // It fixes JRUBY-2237, but needs a better solution.
// truncate can't lengthen files, so we save position, seek/write, and go back
"/* Something like cvar_cbase() from eval.c, factored out for the benefit     * of all the classvar-related node evaluations */"
"/*     *  Constructor for internal usage (mainly for Array#|, Array#&, Array#- and Array#uniq)     *  it doesn't initialize ifNone field     */"
// default ClassCache using jitMax as a soft upper bound
// need names ordered for key generation later
// ?>  | boolean | True if the modification time of file1 is after that of file2
// Used by our duck-typification of Proc into interface types, to allow // coercing a simple proc into an interface parameter.
// line 1058
// value is already on stack, save it for later
// could be pulled down to RubyClass in future // rb_class_boot
/* rb_str_subseq */
// line 1562
/* $\: output record separator */
// Make Java class files in the jar reachable from Ruby
// retuns null when not found to avoid unnecessary getRuntime().getNil() call
//            case SCLASSNODE: return buildSClass(node, m); // DEFERRED // done // done // done // done // done // done // done // done //            case UNDEFNODE: return buildUndef(node, m); // DEFERRED // done //            case VALIASNODE: return buildVAlias(node, m); // DEFERRED // done // done
// construct static scope list of names
// SSS FIXME: Token can be final for a method -- implying that the token is only for this particular implementation of the method // But, if the mehod is modified, we create a new method object which in turn gets a new token.  What makes sense??  Intuitively, // it seems the first one ... but let us see ... // Current code version token for this method -- can change during execution as methods get redefined!
// line 814
// line 1243
// drop through for non-strict digits
// line 991
// JRUBY-914: Java 1.4 BigDecimal does not allow a negative scale, so we have to simulate it
// Windows is LLP64
// line 923
// line 1655
// just confirm minimum args provided
// jcreate instantiates the proxy object which implements all interfaces // and which is wrapped and implemented by this object
// rest arg must be splatted
// line 283
// we only collect methods and interfaces for  // user-defined proxy classes.
// change the thread context to include the class
// finally
// line 1217
// line 2014
// used only by the compiler/interpreter (will set the literal flag)
// UTF-8
// no match, append remainder of buffer and continue with next block
// No bit math to store level since we know level is zero for this case
// line 842
// do not load the class if not used
// states
// When Socket::AI_PASSIVE and host is nil, return 'any' address.
// line 1038
// Methods of the Object class (rb_obj_*):
// line 469
// if the environment variables can't be obtained, define an empty ENV
// TODO: call config with scope but no frame
// Dot is not at beginning and not at end of filename.
/* $:: load path */
